date,value
30:00.0,1
30:00.0,12
31:00.0,1
31:00.0,23
31:00.0,1
32:00.0,3
32:00.0,1
32:00.0,1
33:00.0,1
33:00.0,1
33:00.0,8
34:00.0,1
34:00.0,9
34:00.0,1
35:00.0,18
35:00.0,1
35:00.0,1
36:00.0,1
36:00.0,1
36:00.0,9
37:00.0,1
37:00.0,7
37:00.0,1
38:00.0,7
38:00.0,1
38:00.0,1
39:00.0,1
39:00.0,1
39:00.0,15
40:00.0,1
40:00.0,20
40:00.0,1
41:00.0,20
41:00.0,1
42:00.0,12
42:00.0,1
42:00.0,1
43:00.0,1
43:00.0,1
43:00.0,6
44:00.0,1
44:00.0,5
44:00.0,1
45:00.0,6
45:00.0,1
45:00.0,1
46:00.0,1
46:00.0,1
46:00.0,3
47:00.0,1
47:00.0,5
47:00.0,1
48:00.0,6
48:00.0,1
49:00.0,5
49:00.0,1
49:00.0,1
50:00.0,1
50:00.0,1
50:00.0,3
51:00.0,5
51:00.0,1
51:00.0,4
52:00.0,3
52:00.0,1
53:00.0,2
53:00.0,1
53:00.0,1
54:00.0,1
54:00.0,1
55:00.0,1
55:00.0,1
55:00.0,1
56:00.0,1
56:00.0,1
56:00.0,1
57:00.0,2
57:00.0,1
58:00.0,28
58:00.0,1
58:00.0,1
59:00.0,1
59:00.0,24
00:00.0,1
00:00.0,13
00:00.0,1
01:00.0,13
01:00.0,1
01:00.0,1
02:00.0,10
02:00.0,1
03:00.0,10
03:00.0,1
03:00.0,1
04:00.0,1
04:00.0,1
04:00.0,10
05:00.0,1
05:00.0,1
05:00.0,1
06:00.0,3
06:00.0,1
07:00.0,6
07:00.0,2
07:00.0,1
08:00.0,4
08:00.0,3
08:00.0,6
09:00.0,1
09:00.0,13
10:00.0,1
10:00.0,17
10:00.0,1
11:00.0,9
11:00.0,1
12:00.0,15
12:00.0,1
12:00.0,1
13:00.0,1
13:00.0,1
13:00.0,7
14:00.0,1
14:00.0,12
14:00.0,1
15:00.0,10
15:00.0,3
16:00.0,6
16:00.0,1
16:00.0,4
17:00.0,1
17:00.0,1
17:00.0,10
18:00.0,1
18:00.0,8
18:00.0,1
19:00.0,8
19:00.0,2
20:00.0,16
20:00.0,1
21:00.0,21
21:00.0,1
21:00.0,1
22:00.0,1
22:00.0,1
22:00.0,23
23:00.0,1
23:00.0,12
23:00.0,1
24:00.0,12
24:00.0,1
24:00.0,1
25:00.0,1
25:00.0,16
26:00.0,1
26:00.0,16
26:00.0,1
27:00.0,12
27:00.0,1
27:00.0,1
28:00.0,1
28:00.0,1
28:00.0,10
29:00.0,1
29:00.0,10
29:00.0,1
30:00.0,11
30:00.0,1
30:00.0,1
31:00.0,1
31:00.0,1
31:00.0,10
32:00.0,1
32:00.0,23
32:00.0,1
33:00.0,24
33:00.0,1
33:00.0,1
34:00.0,1
34:00.0,1
34:00.0,25
35:00.0,2
35:00.0,14
35:00.0,1
36:00.0,17
36:00.0,1
37:00.0,23
37:00.0,4
37:00.0,1
38:00.0,1
38:00.0,2
38:00.0,19
39:00.0,1
39:00.0,26
39:00.0,2
40:00.0,20
40:00.0,2
40:00.0,2
41:00.0,1
41:00.0,2
41:00.0,20
42:00.0,1
42:00.0,12
42:00.0,1
43:00.0,22
43:00.0,1
43:00.0,1
44:00.0,1
44:00.0,1
44:00.0,18
45:00.0,1
45:00.0,10
46:00.0,1
46:00.0,24
46:00.0,1
47:00.0,1
47:00.0,1
48:00.0,1
48:00.0,1
48:00.0,16
49:00.0,1
49:00.0,21
49:00.0,1
50:00.0,21
50:00.0,1
50:00.0,1
51:00.0,1
51:00.0,1
51:00.0,7
52:00.0,1
52:00.0,22
52:00.0,1
53:00.0,18
53:00.0,1
53:00.0,1
54:00.0,1
54:00.0,19
55:00.0,1
55:00.0,27
56:00.0,1
56:00.0,18
57:00.0,1
57:00.0,14
58:00.0,1
58:00.0,16
58:00.0,1
59:00.0,18
59:00.0,1
59:00.0,1
00:00.0,17
00:00.0,1
01:00.0,15
01:00.0,1
01:00.0,1
02:00.0,1
02:00.0,1
02:00.0,22
03:00.0,1
03:00.0,1
04:00.0,1
04:00.0,1
04:00.0,23
05:00.0,1
05:00.0,18
05:00.0,1
06:00.0,18
06:00.0,1
06:00.0,1
07:00.0,18
07:00.0,1
08:00.0,17
08:00.0,1
08:00.0,1
09:00.0,1
09:00.0,20
10:00.0,1
10:00.0,22
10:00.0,1
11:00.0,26
11:00.0,1
11:00.0,1
12:00.0,22
12:00.0,1
13:00.0,18
13:00.0,1
13:00.0,1
14:00.0,1
14:00.0,1
14:00.0,14
15:00.0,1
15:00.0,12
15:00.0,1
16:00.0,14
16:00.0,1
16:00.0,1
17:00.0,1
17:00.0,13
18:00.0,1
18:00.0,19
18:00.0,1
19:00.0,22
19:00.0,1
19:00.0,1
20:00.0,1
20:00.0,1
20:00.0,9
21:00.0,1
21:00.0,12
21:00.0,2
22:00.0,21
22:00.0,1
22:00.0,1
23:00.0,4
23:00.0,3
23:00.0,18
24:00.0,2
24:00.0,18
24:00.0,1
25:00.0,1
25:00.0,1
26:00.0,1
26:00.0,1
26:00.0,14
27:00.0,1
27:00.0,21
27:00.0,1
28:00.0,17
28:00.0,1
28:00.0,1
29:00.0,1
29:00.0,1
29:00.0,16
30:00.0,1
30:00.0,11
31:00.0,1
31:00.0,13
31:00.0,1
32:00.0,13
32:00.0,1
32:00.0,1
33:00.0,1
33:00.0,1
33:00.0,16
34:00.0,1
34:00.0,12
34:00.0,1
35:00.0,11
35:00.0,1
35:00.0,1
36:00.0,6
36:00.0,1
37:00.0,16
37:00.0,1
37:00.0,1
38:00.0,1
38:00.0,1
38:00.0,19
39:00.0,1
39:00.0,13
39:00.0,1
40:00.0,11
40:00.0,2
40:00.0,2
